0,1,2,3,4,5,6,7,8
301519,舜禹股份,1,1,0.18,0.18,0.71,0.71,+展开明细
300292,吴通控股,1,1,0.50,0.50,0.50,0.50,+展开明细
300599,雄塑科技,1,-1,0.47,-0.73,0.47,-0.73,+展开明细
603859,能科科技,1,0,1.20,0.12,1.20,0.12,+展开明细
300775,三角防务,1,0,1.25,0.41,1.26,0.42,+展开明细
600740,山西焦化,1,0,0.55,0.20,0.55,0.20,+展开明细
301160,翔楼新材,1,1,0.89,0.89,1.41,1.41,+展开明细
300879,大叶股份,1,0,0.31,-0.33,0.31,-0.33,+展开明细
002415,海康威视,1,1,0.43,0.43,0.44,0.44,+展开明细
300212,易华录,1,0,0.69,0.37,0.75,0.40,+展开明细
002017,东信和平,1,1,0.26,0.26,0.26,0.26,+展开明细
600980,北矿科技,1,0,0.26,-0.04,0.31,-0.05,+展开明细
688333,铂力特,1,-1,1.11,-0.66,1.33,-0.79,+展开明细
002373,千方科技,1,-1,3.96,-1.97,3.96,-1.97,+展开明细
300623,捷捷微电,1,0,0.52,-0.28,0.52,-0.28,+展开明细
003023,彩虹集团,1,0,0.70,0.35,1.41,0.71,+展开明细
301281,科源制药,1,-2,0.10,-0.92,0.40,-3.69,+展开明细
300936,中英科技,1,-1,0.31,-0.07,0.31,-0.77,+展开明细
688353,华盛锂电,1,1,1.13,1.13,2.92,2.92,+展开明细
301141,中科磁业,1,-1,0.12,-0.10,0.49,-0.42,+展开明细
301469,恒达新材,1,-1,0.11,-0.53,0.47,-2.24,+展开明细
300885,海昌新材,1,-1,0.25,-0.68,0.25,-0.68,+展开明细
300617,安靠智电,1,0,1.69,0.09,1.70,0.10,+展开明细
301223,中荣股份,1,-3,0.12,-0.40,0.20,-0.70,+展开明细
600116,三峡水利,1,0,2.82,0.21,2.82,0.21,+展开明细
300898,熊猫乳品,1,1,0.40,0.40,0.40,0.40,+展开明细
300269,联建光电,1,0,0.56,-0.14,0.59,-0.14,+展开明细
301446,福事特,1,-3,0.18,-1.17,0.73,-4.67,+展开明细
600469,风神股份,1,-1,0.38,-0.86,0.38,-0.86,+展开明细
000920,沃顿科技,1,1,0.28,0.28,0.31,0.31,+展开明细
300680,隆盛科技,1,-2,0.74,-2.36,0.74,-2.37,+展开明细
301361,众智科技,1,-3,0.13,-0.99,0.52,-3.95,+展开明细
001378,德冠新材,1,1,0.09,0.09,0.38,0.38,+展开明细
002119,康强电子,1,-2,0.98,-0.61,0.98,-0.61,+展开明细
000968,蓝焰控股,1,1,0.63,0.63,0.63,0.63,+展开明细
001333,光华股份,1,-1,0.30,-0.11,0.88,-0.31,+展开明细
301378,通达海,1,-4,0.41,-0.95,0.78,-4.68,+展开明细
301071,力量钻石,1,1,1.04,1.04,2.07,2.07,+展开明细
002591,恒大高新,1,-1,0.45,-0.87,0.45,-0.87,+展开明细
000959,首钢股份,1,0,0.22,-0.13,0.28,-0.18,+展开明细
300058,蓝色光标,1,-1,1.15,-0.12,1.15,-0.12,+展开明细
301070,开勒股份,1,0,1.91,0.40,2.77,0.57,+展开明细
000529,广弘控股,1,0,0.18,0.00,0.19,0.01,+展开明细
301382,蜂助手,1,-1,0.23,-0.29,1.01,-1.31,+展开明细
300075,数字政通,1,-1,0.35,-0.71,0.35,-0.71,+展开明细
